symbol,strike_price,expiry,option_type,volume,timestamp,open,high,low,close,volume_candle
C-BTC-108200-060725,108200,060725,call,0.0,1751788500,80,80,78,78,218
C-BTC-108200-060725,108200,060725,call,0.0,1751788200,85,85,78,78,76
C-BTC-108200-060725,108200,060725,call,0.0,1751787900,87,87,76,86.5,495
C-BTC-108200-060725,108200,060725,call,0.0,1751787600,93.5,93.5,77,85.5,424
C-BTC-108200-060725,108200,060725,call,0.0,1751787300,90,95,72.5,84,1780
C-BTC-108200-060725,108200,060725,call,0.0,1751787000,115,119,85,85,1263
C-BTC-108200-060725,108200,060725,call,0.0,1751786700,124,124,112.5,115.5,188
C-BTC-108200-060725,108200,060725,call,0.0,1751786400,110.5,115,90.4,103.5,2094
C-BTC-108200-060725,108200,060725,call,0.0,1751786100,135,135,110.5,110.5,3395
C-BTC-108200-060725,108200,060725,call,0.0,1751785800,114.5,124,112.5,123.5,321
C-BTC-108200-060725,108200,060725,call,0.0,1751785500,132,132,113.5,113.5,2204
C-BTC-108200-060725,108200,060725,call,0.0,1751785200,125,138,125,132.5,75
C-BTC-108200-060725,108200,060725,call,0.0,1751784900,123.5,134,123.5,125,24
C-BTC-108200-060725,108200,060725,call,0.0,1751784600,122.5,134,120.5,120.5,1159
C-BTC-108200-060725,108200,060725,call,0.0,1751784300,133.5,137,126.5,137,349
C-BTC-108200-060725,108200,060725,call,0.0,1751784000,132.5,145,132.5,134.5,945
C-BTC-108200-060725,108200,060725,call,0.0,1751783700,138,139,127,139,1688
C-BTC-108200-060725,108200,060725,call,0.0,1751783400,130,130,93.8,118,2653
C-BTC-108200-060725,108200,060725,call,0.0,1751783100,142,142,128,139,476
C-BTC-108200-060725,108200,060725,call,0.0,1751782800,158,165,140,142,1070
C-BTC-108200-060725,108200,060725,call,0.0,1751782500,124,180,124,146,2567
C-BTC-108200-060725,108200,060725,call,0.0,1751782200,83,123,83,123,650
C-BTC-108200-060725,108200,060725,call,0.0,1751781900,76,83,76,82,326
C-BTC-108200-060725,108200,060725,call,0.0,1751781600,86,93,78,78,646
C-BTC-108200-060725,108200,060725,call,0.0,1751781300,97,97,96,96,842
C-BTC-108200-060725,108200,060725,call,0.0,1751781000,85,85,85,85,0
C-BTC-108200-060725,108200,060725,call,0.0,1751780700,85,85,85,85,0
C-BTC-108200-060725,108200,060725,call,0.0,1751780400,85,85,85,85,0
C-BTC-108200-060725,108200,060725,call,0.0,1751780100,85,85,85,85,0
C-BTC-108200-060725,108200,060725,call,0.0,1751779800,85,85,85,85,0
C-BTC-108200-060725,108200,060725,call,0.0,1751779500,85,85,85,85,0
C-BTC-108200-060725,108200,060725,call,0.0,1751779200,85,85,85,85,0
C-BTC-108200-060725,108200,060725,call,0.0,1751778900,85,85,85,85,0
C-BTC-108200-060725,108200,060725,call,0.0,1751778600,85,85,85,85,0
C-BTC-108200-060725,108200,060725,call,0.0,1751778300,85,85,85,85,0
C-BTC-108200-060725,108200,060725,call,0.0,1751778000,85,85,85,85,0
C-BTC-108200-060725,108200,060725,call,0.0,1751777700,94.5,94.5,85,85,13
C-BTC-108200-060725,108200,060725,call,0.0,1751777400,97,97,95,95,223
C-BTC-108200-060725,108200,060725,call,0.0,1751777100,102,102,98,98,700
C-BTC-108200-060725,108200,060725,call,0.0,1751776800,96,118.8,96,118.8,1801
C-BTC-108200-060725,108200,060725,call,0.0,1751776500,85,94,85,94,476
C-BTC-108200-060725,108200,060725,call,0.0,1751776200,97,97,84.5,85,1710
C-BTC-108200-060725,108200,060725,call,0.0,1751775900,100,100,90,90,2332
C-BTC-108200-060725,108200,060725,call,0.0,1751775600,112,112,100,100,2031
C-BTC-108200-060725,108200,060725,call,0.0,1751775300,133.5,133.5,118,127.5,155
C-BTC-108200-060725,108200,060725,call,0.0,1751775000,134,145,133,145,391
C-BTC-108200-060725,108200,060725,call,0.0,1751774700,140,153,139.5,152,450
C-BTC-108200-060725,108200,060725,call,0.0,1751774400,120,148.5,120,148.5,174
C-BTC-108200-060725,108200,060725,call,0.0,1751774100,129.5,132,119,120,47
C-BTC-108200-060725,108200,060725,call,0.0,1751773800,122,123.5,111,120.5,1539
C-BTC-108200-060725,108200,060725,call,0.0,1751773500,139.5,139.5,121,121,544
C-BTC-108200-060725,108200,060725,call,0.0,1751773200,121,126.5,121,126.5,742
C-BTC-108200-060725,108200,060725,call,0.0,1751772900,119,119,119,119,0
C-BTC-108200-060725,108200,060725,call,0.0,1751772600,119,119,119,119,0
C-BTC-108200-060725,108200,060725,call,0.0,1751772300,115,126.5,114,119,1174
C-BTC-108200-060725,108200,060725,call,0.0,1751772000,150,150,114,115,846
C-BTC-108200-060725,108200,060725,call,0.0,1751771700,150,159.5,150,150,1126
C-BTC-108200-060725,108200,060725,call,0.0,1751771400,174.5,174.5,174.5,174.5,0
C-BTC-108200-060725,108200,060725,call,0.0,1751771100,146,174.5,146,174.5,7
C-BTC-108200-060725,108200,060725,call,0.0,1751770800,164.5,164.5,132,137,234
C-BTC-108200-060725,108200,060725,call,0.0,1751770500,185,200,172,172,25
C-BTC-108200-060725,108200,060725,call,0.0,1751770200,201,201,186,186,2
C-BTC-108200-060725,108200,060725,call,0.0,1751769900,187,187,187,187,1
C-BTC-108200-060725,108200,060725,call,0.0,1751769600,188,188,176,176,150
C-BTC-108200-060725,108200,060725,call,0.0,1751769300,188,188.5,176,188.5,102
C-BTC-108200-060725,108200,060725,call,0.0,1751769000,183,183,183,183,5
C-BTC-108200-060725,108200,060725,call,0.0,1751768700,218,218,184,184,41
C-BTC-108200-060725,108200,060725,call,0.0,1751768400,180,210,180,210,474
C-BTC-108200-060725,108200,060725,call,0.0,1751768100,266,266,199.8,212,439
C-BTC-108200-060725,108200,060725,call,0.0,1751767800,260,262,246,246,338
C-BTC-108200-060725,108200,060725,call,0.0,1751767500,245,263,245,261,783
C-BTC-108200-060725,108200,060725,call,0.0,1751767200,242,242,239,239,61
C-BTC-108200-060725,108200,060725,call,0.0,1751766900,220,245,220,244,211
C-BTC-108200-060725,108200,060725,call,0.0,1751766600,220,238,217,238,270
C-BTC-108200-060725,108200,060725,call,0.0,1751766300,217,220,217,220,10
C-BTC-108200-060725,108200,060725,call,0.0,1751766000,207,227,200,200,208
C-BTC-108200-060725,108200,060725,call,0.0,1751765700,202,208,195,208,3271
C-BTC-108200-060725,108200,060725,call,0.0,1751765400,193,193,193,193,0
C-BTC-108200-060725,108200,060725,call,0.0,1751765100,214,231,193,193,354
C-BTC-108200-060725,108200,060725,call,0.0,1751764800,214,214,214,214,6
