timestamp,open,high,low,close,volume
1751846100,109197.5,109220.5,109152.5,109157,4112
1751845800,109143.5,109251,109143.5,109196.5,4966
1751845500,109119.5,109151,109091.5,109144.5,1608
1751845200,109095.5,109120.5,109035,109120.5,2430
1751844900,109025,109106,108938,109105,2659
1751844600,109005.5,109061,109004.5,109029.5,2728
1751844300,109070.5,109091,109000,109012,1800
1751844000,109143,109155,109055,109069.5,2287
1751843700,109194.5,109194.5,109094,109124,2547
1751843400,109116,109195.5,109025.5,109195.5,1754
1751843100,109075.5,109204.5,108987,109117,5429
1751842800,109198.5,109208.5,108966,109077.5,12326
1751842500,109255.5,109255.5,109176,109196,2406
1751842200,109270,109337,109222.5,109256.5,7521
1751841900,109297,109310.5,109186.5,109250,7289
1751841600,109268.5,109332,109250,109297,2030
1751841300,109222,109313.5,109222,109268.5,2210
1751841000,109413,109422,109222,109223,4079
1751840700,109354.5,109440.5,109260.5,109407.5,5706
1751840400,109460,109460,109331,109353.5,3494
1751840100,109350,109471,109350,109460,7955
1751839800,109314.5,109349,109230.5,109349,2900
1751839500,109353,109415,109276.5,109314.5,9119
1751839200,109195,109497.5,109160.5,109303.5,17765
1751838900,109071.5,109233,109071.5,109172,7874
1751838600,109195.5,109195.5,108992,109060,9781
1751838300,109403,109409,109010.5,109214.5,23209
1751838000,109382,109457.5,109320,109403,8600
1751837700,109315.5,109549.5,109164,109397,20536
1751837400,109263,109684,109262,109325.5,78833
1751837100,108980,109291,108980,109262,66679
1751836800,108909,108984.5,108909,108980,13864
1751836500,108877.5,108929,108871,108907.5,8616
1751836200,108700.5,108901,108700.5,108876.5,11938
1751835900,108669,108706.5,108668,108691,2549
1751835600,108610.5,108697,108610.5,108669,6292
1751835300,108685.5,108685.5,108616.5,108616.5,2912
1751835000,108711,108711,108652.5,108685.5,2384
1751834700,108711.5,108796,108696.5,108712,5988
1751834400,108682,108733,108681,108710.5,2665
1751834100,108671,108721,108670,108682,3265
1751833800,108659,108716.5,108659,108671,3093
1751833500,108695,108722,108658.5,108660,4100
1751833200,108744.5,108744.5,108671.5,108695,7651
1751832900,108751,108812,108702,108744.5,26480
1751832600,108757.5,108785.5,108750,108750,12805
1751832300,108571.5,108784.5,108571.5,108758.5,37284
1751832000,108505,108571.5,108488,108571.5,11859
1751831700,108428.5,108505,108428.5,108505,8215
1751831400,108387,108441,108362.5,108429.5,6924
1751831100,108325.5,108387,108254.5,108387,12365
1751830800,108291,108358,108290,108329,11730
1751830500,108370.5,108372,108278,108291,23651
1751830200,108423.5,108481,108370.5,108370.5,9553
1751829900,108453.5,108459,108423.5,108423.5,2610
1751829600,108457.5,108482.5,108422,108453.5,8661
1751829300,108511.5,108522,108450,108456.5,5480
1751829000,108489.5,108532,108452.5,108510.5,7498
1751828700,108572.5,108573.5,108491,108491,12538
1751828400,108435,108594,108428.5,108572.5,30741
1751828100,108371.5,108435.5,108367.5,108434,10493
1751827800,108297.5,108398.5,108240.5,108371.5,24039
1751827500,108371.5,108401,108222.5,108298.5,50195
1751827200,108524.5,108561,108345,108372.5,46192
1751826900,108441.5,108536.5,108422,108524.5,24039
1751826600,108517,108587.5,108432.5,108441.5,27323
1751826300,108677.5,108678.5,108443.5,108516,90936
1751826000,108746,108780.5,108676.5,108677.5,15336
1751825700,108742,108751,108696.5,108746,15070
1751825400,108765,108788,108735.5,108743,10992
1751825100,108818.5,108818.5,108697.5,108764,28579
1751824800,108875.5,108890,108816.5,108818.5,11141
1751824500,108876.5,108876.5,108875.5,108876.5,2140
1751824200,108866.5,108876.5,108820,108876.5,7015
1751823900,108908,108928,108866.5,108866.5,12501
1751823600,108855,108919.5,108854,108908,7328
1751823300,108887,108919.5,108835.5,108855,22360
1751823000,108826,108887,108825.5,108887,13814
1751822700,108813.5,108827,108797,108826.5,10113
1751822400,108747.5,108824.5,108747.5,108812.5,5740
1751822100,108722.5,108762,108710,108748.5,3525
