symbol,strike_price,expiry,option_type,volume,timestamp,open,high,low,close,volume_candle
C-BTC-120400-180725,120400,180725,call,0.0,1752802800,698,801,612,612,373
C-BTC-120400-180725,120400,180725,call,0.0,1752802500,619,692,619,692,229
C-BTC-120400-180725,120400,180725,call,0.0,1752802200,568,631,568,631,156
C-BTC-120400-180725,120400,180725,call,0.0,1752801900,504,504,467,467,311
C-BTC-120400-180725,120400,180725,call,0.0,1752801600,480,584,480,490,423
C-BTC-120400-180725,120400,180725,call,0.0,1752801300,449,449,449,449,400
C-BTC-120400-180725,120400,180725,call,0.0,1752801000,422,577,422,573,575
C-BTC-120400-180725,120400,180725,call,0.0,1752800700,283,283,283,283,0
C-BTC-120400-180725,120400,180725,call,0.0,1752800400,283,283,283,283,0
C-BTC-120400-180725,120400,180725,call,0.0,1752800100,283,283,283,283,0
C-BTC-120400-180725,120400,180725,call,0.0,1752799800,283,283,283,283,0
C-BTC-120400-180725,120400,180725,call,0.0,1752799500,283,283,283,283,0
C-BTC-120400-180725,120400,180725,call,0.0,1752799200,283,283,283,283,0
C-BTC-120400-180725,120400,180725,call,0.0,1752798900,283,283,283,283,50
C-BTC-120400-180725,120400,180725,call,0.0,1752798600,249,249,249,249,0
C-BTC-120400-180725,120400,180725,call,0.0,1752798300,249,249,249,249,9
C-BTC-120400-180725,120400,180725,call,0.0,1752798000,200.3,200.3,200.3,200.3,10
C-BTC-120400-180725,120400,180725,call,0.0,1752797700,141,141,141,141,0
C-BTC-120400-180725,120400,180725,call,0.0,1752797400,145,145,141,141,90
