symbol,strike_price,expiry,option_type,volume,timestamp,open,high,low,close,volume_candle
C-BTC-122500-180725,122500,180725,call,0.0,1752802800,191,191,191,191,40
C-BTC-122500-180725,122500,180725,call,0.0,1752802500,128.5,145,128.5,145,31
C-BTC-122500-180725,122500,180725,call,0.0,1752802200,87,110,87,110,611
C-BTC-122500-180725,122500,180725,call,0.0,1752801900,117,117,117,117,0
C-BTC-122500-180725,122500,180725,call,0.0,1752801600,119.5,119.5,117,117,79
C-BTC-122500-180725,122500,180725,call,0.0,1752801300,47,47,47,47,0
C-BTC-122500-180725,122500,180725,call,0.0,1752801000,47,47,47,47,0
C-BTC-122500-180725,122500,180725,call,0.0,1752800700,47,47,47,47,192
C-BTC-122500-180725,122500,180725,call,0.0,1752800400,43,52,43,47.5,583
C-BTC-122500-180725,122500,180725,call,0.0,1752800100,49.5,49.5,49.5,49.5,6
C-BTC-122500-180725,122500,180725,call,0.0,1752799800,50.5,50.5,50.5,50.5,1
C-BTC-122500-180725,122500,180725,call,0.0,1752799500,44,44,44,44,0
C-BTC-122500-180725,122500,180725,call,0.0,1752799200,42,44,41.5,44,36
