symbol,strike_price,expiry,option_type,volume,timestamp,open,high,low,close,volume_candle
P-BTC-117000-180725,117000,180725,put,0.0,1752802800,20,28.8,13.9,23,419
P-BTC-117000-180725,117000,180725,put,0.0,1752802500,21,22,21,22,106
P-BTC-117000-180725,117000,180725,put,0.0,1752802200,25.4,25.4,15,15,16
P-BTC-117000-180725,117000,180725,put,0.0,1752801900,25,31,25,31,2063
P-BTC-117000-180725,117000,180725,put,0.0,1752801600,19.5,24,19,24,978
P-BTC-117000-180725,117000,180725,put,0.0,1752801300,25,26,25,26,275
P-BTC-117000-180725,117000,180725,put,0.0,1752801000,26,26,15,20,74
P-BTC-117000-180725,117000,180725,put,0.0,1752800700,36.5,36.5,36.5,36.5,0
P-BTC-117000-180725,117000,180725,put,0.0,1752800400,36.5,36.5,36.5,36.5,0
P-BTC-117000-180725,117000,180725,put,0.0,1752800100,36.5,36.5,36.5,36.5,67
P-BTC-117000-180725,117000,180725,put,0.0,1752799800,36.5,37.5,36.5,37.5,57
P-BTC-117000-180725,117000,180725,put,0.0,1752799500,50,50,50,50,0
P-BTC-117000-180725,117000,180725,put,0.0,1752799200,50,50,50,50,0
P-BTC-117000-180725,117000,180725,put,0.0,1752798900,50,50,50,50,0
P-BTC-117000-180725,117000,180725,put,0.0,1752798600,53,53,50,50,27
P-BTC-117000-180725,117000,180725,put,0.0,1752798300,69,69,69,69,0
P-BTC-117000-180725,117000,180725,put,0.0,1752798000,69,69,69,69,1000
