timestamp,open,high,low,close,volume
1752802800,120535.5,120800,120312,120372,51950
1752802500,120410.5,120567.5,120362.5,120545,13867
1752802200,120160,120499,120044,120401,13150
1752801900,120241.5,120251.5,120088,120179.5,6737
1752801600,120122.5,120454.5,120116.5,120245,15022
1752801300,120284,120284,120022,120121.5,15293
1752801000,119932,120497.5,119931,120283,41496
1752800700,119676.5,119932.5,119675.5,119932,16728
1752800400,119762,119855,119647.5,119676,5979
1752800100,119699.5,119795.5,119641.5,119745.5,5969
1752799800,119639.5,119717.5,119511.5,119711,7517
1752799500,119733.5,119779,119640.5,119640.5,6225
1752799200,119660,119750,119599,119739.5,5239
1752798900,119556.5,119695.5,119548,119632,8055
1752798600,119500,119626,119500,119532,7742
1752798300,119418,119605,119361.5,119495,7477
1752798000,119180,119489,119170.5,119418,10179
1752797700,119059,119191,119059,119175,4014
1752797400,119232,119238.5,119020,119049,7077
1752797100,119381,119381,119178,119233,7561
1752796800,119188,119382,119171.5,119382,6089
