symbol,strike_price,expiry,option_type,volume,timestamp,open,high,low,close,volume_candle
P-BTC-107200-040725,107200,040725,put,0.0,1751599200,8,8,8,8,9
P-BTC-107200-040725,107200,040725,put,0.0,1751598900,3.1,3.1,3.1,3.1,0
P-BTC-107200-040725,107200,040725,put,0.0,1751598600,3.1,3.1,3.1,3.1,7
P-BTC-107200-040725,107200,040725,put,0.0,1751598300,11,11,11,11,0
P-BTC-107200-040725,107200,040725,put,0.0,1751598000,11,11,11,11,0
P-BTC-107200-040725,107200,040725,put,0.0,1751597700,11,11,10,11,16
P-BTC-107200-040725,107200,040725,put,0.0,1751597400,8,8,4.1,4.1,150
P-BTC-107200-040725,107200,040725,put,0.0,1751597100,3.1,3.1,3.1,3.1,0
P-BTC-107200-040725,107200,040725,put,0.0,1751596800,3.1,3.1,3.1,3.1,0
P-BTC-107200-040725,107200,040725,put,0.0,1751596500,3.1,3.1,3.1,3.1,1
P-BTC-107200-040725,107200,040725,put,0.0,1751596200,5.5,5.5,5.5,5.5,0
P-BTC-107200-040725,107200,040725,put,0.0,1751595900,5.5,5.5,5.5,5.5,0
P-BTC-107200-040725,107200,040725,put,0.0,1751595600,5.5,5.5,5.5,5.5,0
P-BTC-107200-040725,107200,040725,put,0.0,1751595300,5.5,5.5,5.5,5.5,0
P-BTC-107200-040725,107200,040725,put,0.0,1751595000,5.5,5.5,5.5,5.5,0
P-BTC-107200-040725,107200,040725,put,0.0,1751594700,5.5,5.5,5.5,5.5,0
P-BTC-107200-040725,107200,040725,put,0.0,1751594400,5.5,5.5,5.5,5.5,3
P-BTC-107200-040725,107200,040725,put,0.0,1751594100,5,5,5,5,0
P-BTC-107200-040725,107200,040725,put,0.0,1751593800,5,5,5,5,0
P-BTC-107200-040725,107200,040725,put,0.0,1751593500,5,5,5,5,0
P-BTC-107200-040725,107200,040725,put,0.0,1751593200,5,5,5,5,2550
P-BTC-107200-040725,107200,040725,put,0.0,1751592900,5,5,5,5,500
