symbol,strike_price,expiry,option_type,volume,timestamp,open,high,low,close,volume_candle
P-BTC-106600-040725,106600,040725,put,0.0,1751599200,4.9,4.9,2,2,18
P-BTC-106600-040725,106600,040725,put,0.0,1751598900,4.8,4.8,4.8,4.8,0
P-BTC-106600-040725,106600,040725,put,0.0,1751598600,4.8,4.8,4.8,4.8,0
P-BTC-106600-040725,106600,040725,put,0.0,1751598300,4.8,4.8,4.8,4.8,0
P-BTC-106600-040725,106600,040725,put,0.0,1751598000,4.8,4.8,4.8,4.8,0
P-BTC-106600-040725,106600,040725,put,0.0,1751597700,4.8,4.8,4.8,4.8,12
P-BTC-106600-040725,106600,040725,put,0.0,1751597400,4.8,4.8,4.8,4.8,4
P-BTC-106600-040725,106600,040725,put,0.0,1751597100,2,2,2,2,0
P-BTC-106600-040725,106600,040725,put,0.0,1751596800,2,2,2,2,0
P-BTC-106600-040725,106600,040725,put,0.0,1751596500,2,2,2,2,0
P-BTC-106600-040725,106600,040725,put,0.0,1751596200,2,2,2,2,0
P-BTC-106600-040725,106600,040725,put,0.0,1751595900,2,2,2,2,7
P-BTC-106600-040725,106600,040725,put,0.0,1751595600,2,2,2,2,0
P-BTC-106600-040725,106600,040725,put,0.0,1751595300,2,2,2,2,0
P-BTC-106600-040725,106600,040725,put,0.0,1751595000,2,2,2,2,0
P-BTC-106600-040725,106600,040725,put,0.0,1751594700,2,2,2,2,0
P-BTC-106600-040725,106600,040725,put,0.0,1751594400,2,2,2,2,24
P-BTC-106600-040725,106600,040725,put,0.0,1751594100,2,2,2,2,14
