symbol,strike_price,expiry,option_type,volume,timestamp,open,high,low,close,volume_candle
P-BTC-108400-030725,108400,030725,put,0.0,1751510400,215,255,215,249,22
P-BTC-108400-030725,108400,030725,put,0.0,1751510100,226,226,200,200,15
P-BTC-108400-030725,108400,030725,put,0.0,1751509800,217,234,217,230,64
P-BTC-108400-030725,108400,030725,put,0.0,1751509500,200,235,189,234,310
P-BTC-108400-030725,108400,030725,put,0.0,1751509200,181,212,181,212,242
P-BTC-108400-030725,108400,030725,put,0.0,1751508900,158.5,158.5,158.5,158.5,0
P-BTC-108400-030725,108400,030725,put,0.0,1751508600,158.5,158.5,158.5,158.5,10
P-BTC-108400-030725,108400,030725,put,0.0,1751508300,136,159.5,136,159.5,18
P-BTC-108400-030725,108400,030725,put,0.0,1751508000,151,151,134,134,29
P-BTC-108400-030725,108400,030725,put,0.0,1751507700,103,103,100,100,230
P-BTC-108400-030725,108400,030725,put,0.0,1751507400,109.5,109.5,109.5,109.5,82
P-BTC-108400-030725,108400,030725,put,0.0,1751507100,104,110.5,104,110.5,14
P-BTC-108400-030725,108400,030725,put,0.0,1751506800,113.5,113.5,96,96,301
P-BTC-108400-030725,108400,030725,put,0.0,1751506500,101,101,101,101,75
P-BTC-108400-030725,108400,030725,put,0.0,1751506200,101,110.5,100,110.5,194
P-BTC-108400-030725,108400,030725,put,0.0,1751505900,112.5,112.5,112.5,112.5,0
P-BTC-108400-030725,108400,030725,put,0.0,1751505600,112.5,112.5,112.5,112.5,1500
P-BTC-108400-030725,108400,030725,put,0.0,1751505300,127,127,127,127,0
P-BTC-108400-030725,108400,030725,put,0.0,1751505000,139.5,139.5,127,127,8
P-BTC-108400-030725,108400,030725,put,0.0,1751504700,162.5,162.5,140,140,177
P-BTC-108400-030725,108400,030725,put,0.0,1751504400,144.5,144.5,144.5,144.5,0
P-BTC-108400-030725,108400,030725,put,0.0,1751504100,144.5,144.5,144.5,144.5,0
P-BTC-108400-030725,108400,030725,put,0.0,1751503800,144.5,144.5,144.5,144.5,25
P-BTC-108400-030725,108400,030725,put,0.0,1751503500,117.5,117.5,105,105,262
P-BTC-108400-030725,108400,030725,put,0.0,1751503200,155.5,155.5,155.5,155.5,0
P-BTC-108400-030725,108400,030725,put,0.0,1751502900,195.5,195.5,155.5,155.5,9
P-BTC-108400-030725,108400,030725,put,0.0,1751502600,181.5,181.5,181.5,181.5,46
P-BTC-108400-030725,108400,030725,put,0.0,1751502300,143,143,143,143,0
P-BTC-108400-030725,108400,030725,put,0.0,1751502000,143,143,143,143,0
P-BTC-108400-030725,108400,030725,put,0.0,1751501700,143,143,143,143,0
P-BTC-108400-030725,108400,030725,put,0.0,1751501400,143,143,143,143,0
P-BTC-108400-030725,108400,030725,put,0.0,1751501100,143,143,143,143,20
