timestamp,open,high,low,close,volume
1751586900,109561,109581,109555.5,109555.5,1229
1751586600,109529.5,109561,109529.5,109561,848
1751586300,109538,109569.5,109526.5,109530.5,1351
1751586000,109524,109544,109508,109538,3408
1751585700,109543,109557.5,109542,109542.5,1119
1751585400,109571.5,109587,109542,109542,438
1751585100,109540.5,109576.5,109539.5,109553.5,2672
1751584800,109565.5,109573,109510,109540.5,6509
1751584500,109623.5,109624.5,109553.5,109565.5,12191
1751584200,109736.5,109737.5,109600,109624.5,2544
1751583900,109789,109789.5,109733,109742,1781
1751583600,109667,109786.5,109649.5,109786.5,1994
1751583300,109663,109692.5,109662,109666,271
1751583000,109687.5,109687.5,109648.5,109659.5,1566
1751582700,109681.5,109686.5,109608,109686.5,2126
1751582400,109724,109742.5,109686.5,109686.5,991
1751582100,109739,109739,109696,109724,3805
1751581800,109650,109753.5,109646,109739,3637
1751581500,109661.5,109678,109619,109650.5,2053
1751581200,109657,109669.5,109620,109662.5,3538
1751580900,109660,109705,109625,109658.5,7363
1751580600,109798.5,109809.5,109649.5,109653.5,4009
1751580300,109818,109824,109754,109798.5,3311
1751580000,109743,109840,109738,109817,2909
1751579700,109776,109781,109743,109756,1224
1751579400,109725,109804.5,109725,109777,2981
1751579100,109757,109757.5,109701.5,109724.5,1085
1751578800,109676,109757,109668,109753,3635
1751578500,109737.5,109765.5,109675,109676,2250
1751578200,109736,109737.5,109640.5,109737.5,3269
1751577900,109761.5,109765.5,109728,109737,2183
1751577600,109706,109840,109651,109761.5,9500
1751577300,109739.5,109740.5,109663,109711.5,7079
1751577000,109798.5,109810.5,109714.5,109750.5,5230
1751576700,109961.5,109962.5,109689.5,109799.5,15490
1751576400,109922,109974.5,109922,109961.5,14174
1751576100,109868,109920,109834,109914,9002
1751575800,109834.5,109868,109827.5,109868,2187
1751575500,109869.5,109870.5,109803,109843,1616
1751575200,109854,109885,109854,109869.5,2949
1751574900,109811,109862.5,109793,109841.5,6282
1751574600,109837,109846,109804.5,109811,1561
1751574300,109811,109876,109801.5,109837,2661
1751574000,109805.5,109816,109735,109811,2633
1751573700,109783,109808.5,109721.5,109807.5,5446
1751573400,109847,109865.5,109760.5,109777.5,4402
1751573100,109825,109848,109795,109847,3563
1751572800,109770,109828,109770,109824,3744
1751572500,109696.5,109775,109696.5,109765,3154
1751572200,109690.5,109736,109644,109696.5,3921
1751571900,109764,109764,109685.5,109697.5,4692
1751571600,109708,109807.5,109708,109782.5,4880
1751571300,109660.5,109751.5,109659.5,109709,4098
1751571000,109820.5,109836,109631,109660.5,16382
1751570700,109801.5,109872.5,109801.5,109836,13025
1751570400,109802,109821.5,109788,109811.5,10040
1751570100,109760,109828.5,109728,109802,11526
1751569800,109612,109785,109592,109761,9247
1751569500,109769,109827,109615,109615,37819
1751569200,109642.5,109786,109620.5,109770.5,31066
1751568900,109604,109649,109592,109649,9343
1751568600,109499,109618.5,109499,109604,5284
1751568300,109569,109571,109499,109499,3477
1751568000,109603.5,109623,109550,109569,11230
1751567700,109486.5,109609,109436,109603.5,17186
1751567400,109584,109584.5,109474,109487.5,13009
