symbol,strike_price,expiry,option_type,volume,timestamp,open,high,low,close,volume_candle
P-BTC-108200-070725,108200,070725,put,0.0,1751851200,104.5,130,103.5,130,261
P-BTC-108200-070725,108200,070725,put,0.0,1751850900,111,130,111,111.5,297
P-BTC-108200-070725,108200,070725,put,0.0,1751850600,177,177,177,177,0
P-BTC-108200-070725,108200,070725,put,0.0,1751850300,184.9,184.9,177,177,314
P-BTC-108200-070725,108200,070725,put,0.0,1751850000,144,144,144,144,0
P-BTC-108200-070725,108200,070725,put,0.0,1751849700,144,144,144,144,3
P-BTC-108200-070725,108200,070725,put,0.0,1751849400,141.5,158.7,141.5,152,255
P-BTC-108200-070725,108200,070725,put,0.0,1751849100,131,131,131,131,11
P-BTC-108200-070725,108200,070725,put,0.0,1751848800,114.5,114.5,114.5,114.5,0
P-BTC-108200-070725,108200,070725,put,0.0,1751848500,114.5,114.5,114.5,114.5,0
P-BTC-108200-070725,108200,070725,put,0.0,1751848200,114.5,114.5,114.5,114.5,15
P-BTC-108200-070725,108200,070725,put,0.0,1751847900,106,112,106,112,3
P-BTC-108200-070725,108200,070725,put,0.0,1751847600,108,108,107.5,107.5,2
P-BTC-108200-070725,108200,070725,put,0.0,1751847300,87,87,87,87,0
P-BTC-108200-070725,108200,070725,put,0.0,1751847000,87,87,87,87,97
P-BTC-108200-070725,108200,070725,put,0.0,1751846700,83,83,83,83,0
P-BTC-108200-070725,108200,070725,put,0.0,1751846400,82,83,82,83,20
