symbol,strike_price,expiry,option_type,volume,timestamp,open,high,low,close,volume_candle
C-BTC-110000-070725,110000,070725,call,0.0,1751852100,67,67,60,60,6
C-BTC-110000-070725,110000,070725,call,0.0,1751851800,63.5,74,63.5,73.5,84
C-BTC-110000-070725,110000,070725,call,0.0,1751851500,51,61.5,51,59.5,45
C-BTC-110000-070725,110000,070725,call,0.0,1751851200,57.5,57.5,41,52,25
C-BTC-110000-070725,110000,070725,call,0.0,1751850900,38,64.5,38,64.5,106
C-BTC-110000-070725,110000,070725,call,0.0,1751850600,50.5,51.5,40.3,47.5,427
C-BTC-110000-070725,110000,070725,call,0.0,1751850300,49,49,49,49,0
C-BTC-110000-070725,110000,070725,call,0.0,1751850000,48,49,42,49,22
C-BTC-110000-070725,110000,070725,call,0.0,1751849700,67.5,67.5,51,51,1016
C-BTC-110000-070725,110000,070725,call,0.0,1751849400,66.5,66.5,60,60,6
C-BTC-110000-070725,110000,070725,call,0.0,1751849100,64.5,72.5,64.5,72.5,352
C-BTC-110000-070725,110000,070725,call,0.0,1751848800,70,70,59,60,164
C-BTC-110000-070725,110000,070725,call,0.0,1751848500,90.5,90.5,90.5,90.5,0
C-BTC-110000-070725,110000,070725,call,0.0,1751848200,90.5,90.5,90.5,90.5,9
C-BTC-110000-070725,110000,070725,call,0.0,1751847900,79,79,75,75,3
C-BTC-110000-070725,110000,070725,call,0.0,1751847600,87,87,78,79,195
C-BTC-110000-070725,110000,070725,call,0.0,1751847300,136.5,136.5,136.5,136.5,0
C-BTC-110000-070725,110000,070725,call,0.0,1751847000,136.5,136.5,136.5,136.5,1
C-BTC-110000-070725,110000,070725,call,0.0,1751846700,100,100,100,100,1000
