symbol,strike_price,expiry,option_type,volume,timestamp,open,high,low,close,volume_candle
P-BTC-107000-070725,107000,070725,put,0.0,1751851800,28,28,19.5,25,1441
P-BTC-107000-070725,107000,070725,put,0.0,1751851500,30,30,30,30,309
P-BTC-107000-070725,107000,070725,put,0.0,1751851200,49,49,49,49,0
P-BTC-107000-070725,107000,070725,put,0.0,1751850900,49,49,49,49,0
P-BTC-107000-070725,107000,070725,put,0.0,1751850600,45,49,44,49,130
P-BTC-107000-070725,107000,070725,put,0.0,1751850300,59.5,59.5,49.5,49.5,2525
P-BTC-107000-070725,107000,070725,put,0.0,1751850000,42,50,42,50,580
P-BTC-107000-070725,107000,070725,put,0.0,1751849700,43,45,42,42,224
P-BTC-107000-070725,107000,070725,put,0.0,1751849400,40,46,40,46,250
P-BTC-107000-070725,107000,070725,put,0.0,1751849100,43,43,39,40,2076
P-BTC-107000-070725,107000,070725,put,0.0,1751848800,38,43,37,43,250
P-BTC-107000-070725,107000,070725,put,0.0,1751848500,33,38,32,36,283
P-BTC-107000-070725,107000,070725,put,0.0,1751848200,32,34,32,33,300
P-BTC-107000-070725,107000,070725,put,0.0,1751847900,32,35,29,34,817
P-BTC-107000-070725,107000,070725,put,0.0,1751847600,38,38,32,33,169
P-BTC-107000-070725,107000,070725,put,0.0,1751847300,30,30,30,30,0
P-BTC-107000-070725,107000,070725,put,0.0,1751847000,30,30,30,30,330
P-BTC-107000-070725,107000,070725,put,0.0,1751846700,28,28,28,28,0
P-BTC-107000-070725,107000,070725,put,0.0,1751846400,29,29,28,28,659
