symbol,strike_price,expiry,option_type,volume,timestamp,open,high,low,close,volume_candle
C-BTC-110400-050725,110400,050725,call,0.0,1751677800,0.3,0.3,0.3,0.3,21
C-BTC-110400-050725,110400,050725,call,0.0,1751677500,3,3,3,3,0
C-BTC-110400-050725,110400,050725,call,0.0,1751677200,3,3,3,3,0
C-BTC-110400-050725,110400,050725,call,0.0,1751676900,3,3,3,3,0
C-BTC-110400-050725,110400,050725,call,0.0,1751676600,1.2,3,1.2,3,60
C-BTC-110400-050725,110400,050725,call,0.0,1751676300,0.2,0.2,0.2,0.2,0
C-BTC-110400-050725,110400,050725,call,0.0,1751676000,0.2,0.2,0.2,0.2,0
C-BTC-110400-050725,110400,050725,call,0.0,1751675700,0.2,0.2,0.2,0.2,0
C-BTC-110400-050725,110400,050725,call,0.0,1751675400,0.2,0.2,0.2,0.2,0
C-BTC-110400-050725,110400,050725,call,0.0,1751675100,0.2,0.2,0.2,0.2,0
C-BTC-110400-050725,110400,050725,call,0.0,1751674800,0.2,0.2,0.2,0.2,0
C-BTC-110400-050725,110400,050725,call,0.0,1751674500,0.2,0.2,0.2,0.2,1
