symbol,strike_price,expiry,option_type,volume,timestamp,open,high,low,close,volume_candle
P-BTC-107000-020725,107000,020725,put,0.0,1751439000,330,330,312,315,59
P-BTC-107000-020725,107000,020725,put,0.0,1751438700,374,386,335,335,285
P-BTC-107000-020725,107000,020725,put,0.0,1751438400,350,350,336,343,40
P-BTC-107000-020725,107000,020725,put,0.0,1751438100,366,366,364,364,54
P-BTC-107000-020725,107000,020725,put,0.0,1751437800,422,424,400,410,148
P-BTC-107000-020725,107000,020725,put,0.0,1751437500,487,510,477,500,196
P-BTC-107000-020725,107000,020725,put,0.0,1751437200,433,433,433,433,1
P-BTC-107000-020725,107000,020725,put,0.0,1751436900,471,471,428,428,906
P-BTC-107000-020725,107000,020725,put,0.0,1751436600,463,463,448,448,3
P-BTC-107000-020725,107000,020725,put,0.0,1751436300,505,505,432,441,138
P-BTC-107000-020725,107000,020725,put,0.0,1751436000,560,560,560,560,0
P-BTC-107000-020725,107000,020725,put,0.0,1751435700,560,560,560,560,0
P-BTC-107000-020725,107000,020725,put,0.0,1751435400,547,560,547,560,84
P-BTC-107000-020725,107000,020725,put,0.0,1751435100,576.4,576.4,533,533,220
P-BTC-107000-020725,107000,020725,put,0.0,1751434800,590.3,590.3,548,548,30
P-BTC-107000-020725,107000,020725,put,0.0,1751434500,650,650,650,650,0
P-BTC-107000-020725,107000,020725,put,0.0,1751434200,650,650,650,650,0
P-BTC-107000-020725,107000,020725,put,0.0,1751433900,650,650,650,650,0
P-BTC-107000-020725,107000,020725,put,0.0,1751433600,613,650,613,650,6571
P-BTC-107000-020725,107000,020725,put,0.0,1751433300,765,765,605,605,599
P-BTC-107000-020725,107000,020725,put,0.0,1751433000,746,746,746,746,0
P-BTC-107000-020725,107000,020725,put,0.0,1751432700,746,746,746,746,0
P-BTC-107000-020725,107000,020725,put,0.0,1751432400,735,746,735,746,21
P-BTC-107000-020725,107000,020725,put,0.0,1751432100,732,732,732,732,5
P-BTC-107000-020725,107000,020725,put,0.0,1751431800,800,800,800,800,55
P-BTC-107000-020725,107000,020725,put,0.0,1751431500,833,833,833,833,0
P-BTC-107000-020725,107000,020725,put,0.0,1751431200,833,833,833,833,5
P-BTC-107000-020725,107000,020725,put,0.0,1751430900,926,926,926,926,0
P-BTC-107000-020725,107000,020725,put,0.0,1751430600,926,926,926,926,4
P-BTC-107000-020725,107000,020725,put,0.0,1751430300,900,900,900,900,0
P-BTC-107000-020725,107000,020725,put,0.0,1751430000,900,900,900,900,110
P-BTC-107000-020725,107000,020725,put,0.0,1751429700,920,945,920,945,153
P-BTC-107000-020725,107000,020725,put,0.0,1751429400,914,914,914,914,100
P-BTC-107000-020725,107000,020725,put,0.0,1751429100,915,915,915,915,0
P-BTC-107000-020725,107000,020725,put,0.0,1751428800,915,915,915,915,0
P-BTC-107000-020725,107000,020725,put,0.0,1751428500,915,915,915,915,5
P-BTC-107000-020725,107000,020725,put,0.0,1751428200,890,890,890,890,0
P-BTC-107000-020725,107000,020725,put,0.0,1751427900,890,890,890,890,4
P-BTC-107000-020725,107000,020725,put,0.0,1751427600,972,972,972,972,0
P-BTC-107000-020725,107000,020725,put,0.0,1751427300,972,972,972,972,0
P-BTC-107000-020725,107000,020725,put,0.0,1751427000,974,974,972,972,4
P-BTC-107000-020725,107000,020725,put,0.0,1751426700,996,996,996,996,1
P-BTC-107000-020725,107000,020725,put,0.0,1751426400,1044,1044,1044,1044,0
P-BTC-107000-020725,107000,020725,put,0.0,1751426100,1044,1044,1044,1044,0
P-BTC-107000-020725,107000,020725,put,0.0,1751425800,1044,1044,1044,1044,0
P-BTC-107000-020725,107000,020725,put,0.0,1751425500,1044,1044,1044,1044,3
P-BTC-107000-020725,107000,020725,put,0.0,1751425200,1311,1311,1311,1311,0
P-BTC-107000-020725,107000,020725,put,0.0,1751424900,1311,1311,1311,1311,0
P-BTC-107000-020725,107000,020725,put,0.0,1751424600,1311,1311,1311,1311,0
P-BTC-107000-020725,107000,020725,put,0.0,1751424300,1311,1311,1311,1311,0
P-BTC-107000-020725,107000,020725,put,0.0,1751424000,1311,1311,1311,1311,4
P-BTC-107000-020725,107000,020725,put,0.0,1751423700,1413,1413,1413,1413,0
P-BTC-107000-020725,107000,020725,put,0.0,1751423400,1413,1413,1413,1413,0
P-BTC-107000-020725,107000,020725,put,0.0,1751423100,1413,1413,1413,1413,0
P-BTC-107000-020725,107000,020725,put,0.0,1751422800,1413,1413,1413,1413,0
P-BTC-107000-020725,107000,020725,put,0.0,1751422500,1413,1413,1413,1413,50
P-BTC-107000-020725,107000,020725,put,0.0,1751422200,1370,1370,1370,1370,0
P-BTC-107000-020725,107000,020725,put,0.0,1751421900,1370,1370,1370,1370,0
P-BTC-107000-020725,107000,020725,put,0.0,1751421600,1370,1370,1370,1370,0
P-BTC-107000-020725,107000,020725,put,0.0,1751421300,1370,1370,1370,1370,12
P-BTC-107000-020725,107000,020725,put,0.0,1751421000,1256,1256,1256,1256,0
P-BTC-107000-020725,107000,020725,put,0.0,1751420700,1256,1256,1256,1256,0
P-BTC-107000-020725,107000,020725,put,0.0,1751420400,1256,1256,1256,1256,50
P-BTC-107000-020725,107000,020725,put,0.0,1751420100,1400,1400,1400,1400,5
P-BTC-107000-020725,107000,020725,put,0.0,1751419800,1487,1487,1487,1487,0
P-BTC-107000-020725,107000,020725,put,0.0,1751419500,1487,1487,1487,1487,0
P-BTC-107000-020725,107000,020725,put,0.0,1751419200,1517,1517,1487,1487,102
