symbol,strike_price,expiry,option_type,volume,timestamp,open,high,low,close,volume_candle
C-BTC-108200-020725,108200,020725,call,0.0,1751438700,27.5,27.5,20.5,25,431
C-BTC-108200-020725,108200,020725,call,0.0,1751438400,26,26,26,26,1596
C-BTC-108200-020725,108200,020725,call,0.0,1751438100,26,26,26,26,404
C-BTC-108200-020725,108200,020725,call,0.0,1751437800,18.5,24.5,18,24.5,1026
C-BTC-108200-020725,108200,020725,call,0.0,1751437500,23.5,23.5,23.5,23.5,0
C-BTC-108200-020725,108200,020725,call,0.0,1751437200,23.5,23.5,23.5,23.5,0
C-BTC-108200-020725,108200,020725,call,0.0,1751436900,23.5,23.5,23.5,23.5,25
C-BTC-108200-020725,108200,020725,call,0.0,1751436600,17,17,17,17,1
C-BTC-108200-020725,108200,020725,call,0.0,1751436300,16,16,16,16,0
C-BTC-108200-020725,108200,020725,call,0.0,1751436000,16,16,16,16,0
C-BTC-108200-020725,108200,020725,call,0.0,1751435700,16,16,16,16,0
C-BTC-108200-020725,108200,020725,call,0.0,1751435400,16,16,16,16,0
C-BTC-108200-020725,108200,020725,call,0.0,1751435100,16,16,16,16,0
C-BTC-108200-020725,108200,020725,call,0.0,1751434800,13,16,13,16,200
C-BTC-108200-020725,108200,020725,call,0.0,1751434500,13,13,13,13,0
C-BTC-108200-020725,108200,020725,call,0.0,1751434200,13,13,13,13,0
C-BTC-108200-020725,108200,020725,call,0.0,1751433900,13,13,13,13,0
C-BTC-108200-020725,108200,020725,call,0.0,1751433600,13,13,13,13,1
C-BTC-108200-020725,108200,020725,call,0.0,1751433300,14,14,14,14,65
C-BTC-108200-020725,108200,020725,call,0.0,1751433000,4,4,4,4,0
C-BTC-108200-020725,108200,020725,call,0.0,1751432700,4,4,4,4,0
C-BTC-108200-020725,108200,020725,call,0.0,1751432400,4.1,4.1,4,4,216
C-BTC-108200-020725,108200,020725,call,0.0,1751432100,8,11,8,11,956
C-BTC-108200-020725,108200,020725,call,0.0,1751431800,8,8,8,8,0
C-BTC-108200-020725,108200,020725,call,0.0,1751431500,8,8,8,8,3
C-BTC-108200-020725,108200,020725,call,0.0,1751431200,8,8,8,8,40
